_id,libno,time,in,out
127,775127,2019-07-03T10:00:00,16,15
128,775127,2019-07-03T11:00:00,16,21
129,775127,2019-07-03T12:00:00,10,13
130,775127,2019-07-03T13:00:00,10,16
131,775127,2019-07-03T14:00:00,18,15
132,775127,2019-07-03T15:00:00,10,13
133,775127,2019-07-03T16:00:00,6,2
134,775127,2019-07-03T17:00:00,3,3
135,775127,2019-07-03T18:00:00,3,6
136,775130,2019-07-01T06:00:00,5,3
137,775130,2019-07-01T07:00:00,4,3
138,775130,2019-07-01T08:00:00,7,6
139,775130,2019-07-01T09:00:00,15,6
140,775130,2019-07-01T10:00:00,88,73
141,775130,2019-07-01T11:00:00,61,75
142,775130,2019-07-01T12:00:00,56,51
143,775130,2019-07-01T13:00:00,49,48
144,775130,2019-07-01T14:00:00,65,53
145,775130,2019-07-01T15:00:00,76,76
146,775130,2019-07-01T16:00:00,90,82
147,775130,2019-07-01T17:00:00,40,55
148,775130,2019-07-01T18:00:00,16,21
149,775130,2019-07-01T19:00:00,11,14
150,775130,2019-07-02T06:00:00,1,2
151,775130,2019-07-02T07:00:00,9,5
152,775130,2019-07-02T08:00:00,11,3
153,775130,2019-07-02T09:00:00,26,26
154,775130,2019-07-02T10:00:00,75,63
155,775130,2019-07-02T11:00:00,51,60
156,775130,2019-07-02T12:00:00,43,41
157,775130,2019-07-02T13:00:00,46,45
158,775130,2019-07-02T14:00:00,53,58
159,775130,2019-07-02T15:00:00,69,64
160,775130,2019-07-02T16:00:00,40,48
161,775130,2019-07-02T17:00:00,39,39
162,775130,2019-07-02T18:00:00,30,34
163,775130,2019-07-02T19:00:00,4,10
164,775130,2019-07-03T06:00:00,1,1
165,775130,2019-07-03T07:00:00,5,0
166,775130,2019-07-03T08:00:00,10,11
167,775130,2019-07-03T09:00:00,26,16
168,775130,2019-07-03T10:00:00,69,53
169,775130,2019-07-03T11:00:00,38,46
170,775130,2019-07-03T12:00:00,65,68
171,775130,2019-07-03T13:00:00,49,50
172,775130,2019-07-03T14:00:00,56,47
173,775130,2019-07-03T15:00:00,41,61
174,775130,2019-07-03T16:00:00,58,50
175,775130,2019-07-03T17:00:00,45,38
176,775130,2019-07-03T18:00:00,14,24
177,775130,2019-07-03T19:00:00,17,22
178,775140,2019-07-01T06:00:00,2,2
179,775140,2019-07-01T07:00:00,2,1
180,775140,2019-07-01T08:00:00,9,6
181,775140,2019-07-01T09:00:00,29,16
182,775140,2019-07-01T10:00:00,66,49
183,775140,2019-07-01T11:00:00,44,44
184,775140,2019-07-01T12:00:00,68,70
185,775140,2019-07-01T13:00:00,49,56
186,775140,2019-07-01T14:00:00,63,61
187,775140,2019-07-01T15:00:00,61,58
188,775140,2019-07-01T16:00:00,61,65
189,775140,2019-07-01T17:00:00,34,48
190,775140,2019-07-01T18:00:00,20,21
191,775140,2019-07-01T19:00:00,10,10
192,775140,2019-07-01T20:00:00,14,14
193,775140,2019-07-01T21:00:00,15,21
194,775140,2019-07-01T22:00:00,0,1
195,775140,2019-07-02T07:00:00,6,3
196,775140,2019-07-02T08:00:00,7,4
197,775140,2019-07-02T09:00:00,13,7
198,775140,2019-07-02T10:00:00,41,38
199,775140,2019-07-02T11:00:00,51,43
200,775140,2019-07-02T12:00:00,53,56
201,775140,2019-07-02T13:00:00,44,43
202,775140,2019-07-02T14:00:00,44,45
203,775140,2019-07-02T15:00:00,57,57
204,775140,2019-07-02T16:00:00,42,46
205,775140,2019-07-02T17:00:00,45,57
206,775140,2019-07-02T18:00:00,8,11
207,775140,2019-07-02T19:00:00,15,18
208,775140,2019-07-02T20:00:00,11,5
209,775140,2019-07-02T21:00:00,4,12
210,775140,2019-07-02T22:00:00,0,3
211,775140,2019-07-03T07:00:00,2,1
212,775140,2019-07-03T08:00:00,10,6
213,775140,2019-07-03T09:00:00,13,7
214,775140,2019-07-03T10:00:00,53,36
215,775140,2019-07-03T11:00:00,48,51
216,775140,2019-07-03T12:00:00,29,44
217,775140,2019-07-03T13:00:00,54,53
218,775140,2019-07-03T14:00:00,56,47
219,775140,2019-07-03T15:00:00,41,42
220,775140,2019-07-03T16:00:00,44,46
221,775140,2019-07-03T17:00:00,25,27
222,775140,2019-07-03T18:00:00,14,29
223,775140,2019-07-03T19:00:00,7,6
224,775140,2019-07-03T20:00:00,16,9
225,775140,2019-07-03T21:00:00,6,14
226,775144,2019-07-01T06:00:00,0,1
227,775144,2019-07-01T08:00:00,2,3
228,775144,2019-07-01T09:00:00,16,12
229,775144,2019-07-01T10:00:00,29,24
230,775144,2019-07-01T11:00:00,44,45
231,775144,2019-07-01T12:00:00,37,32
232,775144,2019-07-01T13:00:00,58,59
233,775144,2019-07-01T14:00:00,32,28
234,775144,2019-07-01T15:00:00,30,27
235,775144,2019-07-01T16:00:00,26,23
236,775144,2019-07-01T17:00:00,0,10
237,775144,2019-07-02T06:00:00,1,1
238,775144,2019-07-02T08:00:00,5,5
239,775144,2019-07-02T09:00:00,10,8
240,775144,2019-07-02T10:00:00,33,22
241,775144,2019-07-02T11:00:00,38,30
242,775144,2019-07-02T12:00:00,69,75
243,775144,2019-07-02T13:00:00,43,50
244,775144,2019-07-02T14:00:00,33,34
245,775144,2019-07-02T15:00:00,30,31
246,775144,2019-07-02T16:00:00,21,21
247,775144,2019-07-02T17:00:00,14,18
248,775144,2019-07-02T18:00:00,0,8
249,775144,2019-07-03T08:00:00,3,1
250,775144,2019-07-03T09:00:00,11,8
251,775144,2019-07-03T10:00:00,23,22
252,775144,2019-07-03T11:00:00,32,31
253,775144,2019-07-03T12:00:00,32,28
254,775144,2019-07-03T13:00:00,37,30
255,775144,2019-07-03T14:00:00,30,35
256,775144,2019-07-03T15:00:00,34,38
257,775144,2019-07-03T16:00:00,25,34
258,775144,2019-07-03T17:00:00,0,6
259,775146,2019-07-01T10:00:00,1,1
260,775146,2019-07-01T12:00:00,1,1
261,775147,2019-07-01T08:00:00,1,3
262,775147,2019-07-01T09:00:00,14,11
263,775147,2019-07-01T10:00:00,20,18
264,775147,2019-07-01T11:00:00,40,28
265,775147,2019-07-01T12:00:00,36,38
266,775147,2019-07-01T13:00:00,40,37
267,775147,2019-07-01T14:00:00,38,38
268,775147,2019-07-01T15:00:00,29,37
269,775147,2019-07-01T16:00:00,20,26
270,775147,2019-07-01T17:00:00,12,13
271,775147,2019-07-01T18:00:00,8,7
272,775147,2019-07-01T19:00:00,0,1
273,775147,2019-07-01T20:00:00,4,5
274,775147,2019-07-01T21:00:00,8,7
275,775147,2019-07-02T07:00:00,0,1
276,775147,2019-07-02T08:00:00,0,6
277,775147,2019-07-02T09:00:00,12,7
278,775147,2019-07-02T10:00:00,23,21
279,775147,2019-07-02T11:00:00,27,27
280,775147,2019-07-02T12:00:00,20,21
281,775147,2019-07-02T13:00:00,30,29
282,775147,2019-07-02T14:00:00,25,27
283,775147,2019-07-02T15:00:00,18,22
284,775147,2019-07-02T16:00:00,29,23
285,775147,2019-07-02T17:00:00,14,21
286,775147,2019-07-02T18:00:00,9,5
287,775147,2019-07-02T19:00:00,2,3
288,775147,2019-07-02T20:00:00,5,6
289,775147,2019-07-02T21:00:00,11,11
290,775147,2019-07-02T22:00:00,4,3
291,775147,2019-07-03T08:00:00,1,2
292,775147,2019-07-03T09:00:00,14,12
293,775147,2019-07-03T10:00:00,27,24
294,775147,2019-07-03T11:00:00,12,9
295,775147,2019-07-03T12:00:00,22,21
296,775147,2019-07-03T13:00:00,37,30
297,775147,2019-07-03T14:00:00,27,29
298,775147,2019-07-03T15:00:00,25,28
299,775147,2019-07-03T16:00:00,15,20
300,775147,2019-07-03T17:00:00,4,3
301,775147,2019-07-03T20:00:00,6,9
302,775147,2019-07-03T21:00:00,3,2
303,775149,2019-07-01T07:00:00,1,0
304,775149,2019-07-01T08:00:00,2,10
305,775149,2019-07-01T10:00:00,3,3
306,775149,2019-07-01T11:00:00,1,1
307,775149,2019-07-01T12:00:00,3,3
308,775149,2019-07-01T13:00:00,1,1
309,775149,2019-07-01T14:00:00,2,1
310,775149,2019-07-01T15:00:00,0,1
311,775149,2019-07-01T16:00:00,1,1
312,775149,2019-07-02T08:00:00,2,2
313,775149,2019-07-02T09:00:00,1,3
314,775149,2019-07-02T10:00:00,2,3
315,775149,2019-07-02T11:00:00,3,3
316,775149,2019-07-02T12:00:00,3,1
317,775149,2019-07-02T13:00:00,8,5
318,775149,2019-07-02T14:00:00,6,8
319,775149,2019-07-02T15:00:00,1,5
320,775149,2019-07-03T07:00:00,2,0
321,775149,2019-07-03T08:00:00,2,2
322,775149,2019-07-03T09:00:00,2,2
323,775149,2019-07-03T10:00:00,9,11
324,775149,2019-07-03T11:00:00,2,5
325,775149,2019-07-03T12:00:00,4,4
326,775149,2019-07-03T13:00:00,6,5
327,775149,2019-07-03T14:00:00,2,7
328,775149,2019-07-03T15:00:00,28,30
329,775150,2019-07-01T07:00:00,2,2
330,775150,2019-07-01T08:00:00,5,3
331,775150,2019-07-01T09:00:00,5,4
332,775150,2019-07-01T10:00:00,9,7
333,775150,2019-07-01T11:00:00,14,13
334,775150,2019-07-01T12:00:00,28,21
335,775150,2019-07-01T13:00:00,25,25
336,775150,2019-07-01T14:00:00,31,39
337,775150,2019-07-01T15:00:00,29,22
338,775150,2019-07-01T16:00:00,18,31
