epsilons,min_errors,max_errors,mse_errors,abs_errors
2.0,902.8506136069609,902.8506136069609,2910184.5067217373,1681.2518711812854
1.4,348.84641083831843,348.84641083831843,2797052.311330329,1598.4804860047068
1.2,68.38987352988397,68.38987352988397,3232494.3127702624,1695.5810855746704
1.0,175.29773634095227,175.29773634095227,2752654.2753310245,1535.6769178862398
0.8,32.427991471748555,32.427991471748555,3010312.0490837377,1579.632066800947
0.7,43.52091213391168,43.52091213391168,3349788.2649477785,1697.8720188267505
0.5,28.72131206780523,28.72131206780523,3673652.5346796582,1718.68400976886
0.4,36.59839728297993,36.59839728297993,3693773.380313492,1697.363168022433
0.3,14.718263431607284,14.718263431607284,3909008.0618269914,1674.1108721858866
