N,errors,labels
32,483.0059215954422,mse errors
128,2360.8169539410983,mse errors
512,9533.5682136614,mse errors
2048,32623.094437932272,mse errors
32,2397.5526967909764,max errors
128,8079.491958379167,max errors
512,34931.19648588139,max errors
2048,161357.15670487552,max errors
32,329.02493541775306,abs errors
128,1695.4845179313274,abs errors
512,6677.909410595573,abs errors
2048,21684.827108829355,abs errors
