N,max_errors,rmse_errors,abs_errors
32,2397.5526967909764,483.0059215954422,329.02493541775306
128,8079.491958379167,2360.8169539410983,1695.4845179313274
512,34931.19648588139,9533.5682136614,6677.909410595573
2048,161357.15670487552,32623.094437932272,21684.827108829355
