epsilons,errors,labels
2.0,0.007566983288533891,min errors
1.0,0.001135201212150605,min errors
0.8,0.023146060436040727,min errors
0.7,0.004457953874499765,min errors
0.5,0.005435587297213829,min errors
0.4,0.03895031684041328,min errors
0.3,0.02350873065445569,min errors
2.0,0.4068641635054234,mse errors
1.0,1.2782104526725384,mse errors
0.8,2.6260664203386805,mse errors
0.7,3.243272886325825,mse errors
0.5,8.019288873935771,mse errors
0.4,13.185953557007705,mse errors
0.3,18.334762489097006,mse errors
2.0,1.9554477262461418,max errors
1.0,5.4270685247476464,max errors
0.8,4.165993865801411,max errors
0.7,8.012012683839394,max errors
0.5,10.147356995368028,max errors
0.4,13.4176682354925,max errors
0.3,20.15848071367158,max errors
