epsilons,max_errors,rmse_errors,abs_errors
2.0,32024.045231666478,5311.795757522135,2669.399195439518
1.4,47348.63583286199,9216.582723321533,4884.193133482977
1.0,46210.971341422875,11750.228848143814,7241.481492559342
0.8,106933.14434892678,18424.110794959248,9070.957103440149
0.3,161357.15670487552,26975.57436502828,14760.662509451036
