N,min_errors,max_errors,mse_errors,abs_errors
32,1.0162126776508558,1.0162126776508558,164585.33381470304,305.83771238096904
128,41.44572421672592,41.44572421672592,5843871.200460004,1652.8989151236394
512,9.962006254822427,9.962006254822427,85793494.65524983,6851.328384844087
2048,385.27667217312774,385.27667217312774,1194554979.3934836,23863.43043944285
